CRNumber,CRLength,HNumber,HLength,NHE,MortSlope,EradTime
1,1,100,1200,0.001,2.069988e-06,750
1,1,100,1200,0.001,2.414986e-06,746
1,1,100,1200,0.001,2.759984e-06,742
1,1,100,1200,0.001,3.104982e-06,738
1,1,100,1200,0.001,3.44998e-06,735
1,1,100,1200,0.005,0,1200
1,1,100,1200,0.005,3.44998e-07,861
1,1,100,1200,0.005,6.89996e-07,835
1,1,100,1200,0.005,1.034994e-06,820
1,1,100,1200,0.005,1.379992e-06,808
1,1,100,1200,0.005,1.72499e-06,800
1,1,100,1200,0.005,2.069988e-06,792
1,1,100,1200,0.005,2.414986e-06,786
1,1,100,1200,0.005,2.759984e-06,781
1,1,100,1200,0.005,3.104982e-06,776
1,1,100,1200,0.005,3.44998e-06,772
1,1,100,1200,0.01,0,1200
1,1,100,1200,0.01,3.44998e-07,973
1,1,100,1200,0.01,6.89996e-07,925
1,1,100,1200,0.01,1.034994e-06,898
1,1,100,1200,0.01,1.379992e-06,879
1,1,100,1200,0.01,1.72499e-06,865
1,1,100,1200,0.01,2.069988e-06,854
1,1,100,1200,0.01,2.414986e-06,844
1,1,100,1200,0.01,2.759984e-06,836
1,1,100,1200,0.01,3.104982e-06,829
1,1,100,1200,0.01,3.44998e-06,823
1,1,100,1200,0.05,0,1200
1,1,100,1200,0.05,3.44998e-07,1200
1,1,100,1200,0.05,6.89996e-07,1200
1,1,100,1200,0.05,1.034994e-06,1200
1,1,100,1200,0.05,1.379992e-06,1200
1,1,100,1200,0.05,1.72499e-06,1200
1,1,100,1200,0.05,2.069988e-06,1200
1,1,100,1200,0.05,2.414986e-06,1200
1,1,100,1200,0.05,2.759984e-06,1200
1,1,100,1200,0.05,3.104982e-06,1200
1,1,100,1200,0.05,3.44998e-06,1200
1,1,100,1200,0.1,0,1200
1,1,100,1200,0.1,3.44998e-07,1200
1,1,100,1200,0.1,6.89996e-07,1200
1,1,100,1200,0.1,1.034994e-06,1200
1,1,100,1200,0.1,1.379992e-06,1200
1,1,100,1200,0.1,1.72499e-06,1200
1,1,100,1200,0.1,2.069988e-06,1200
1,1,100,1200,0.1,2.414986e-06,1200
1,1,100,1200,0.1,2.759984e-06,1200
1,1,100,1200,0.1,3.104982e-06,1200
1,1,100,1200,0.1,3.44998e-06,1200
1,1,100,1200,0.15,0,1200
1,1,100,1200,0.15,3.44998e-07,1200
1,1,100,1200,0.15,6.89996e-07,1200
1,1,100,1200,0.15,1.034994e-06,1200
1,1,100,1200,0.15,1.379992e-06,1200
1,1,100,1200,0.15,1.72499e-06,1200
1,1,100,1200,0.15,2.069988e-06,1200
1,1,100,1200,0.15,2.414986e-06,1200
1,1,100,1200,0.15,2.759984e-06,1200
1,1,100,1200,0.15,3.104982e-06,1200
1,1,100,1200,0.15,3.44998e-06,1200
1,1,100,1200,0.2,0,1200
1,1,100,1200,0.2,3.44998e-07,1200
1,1,100,1200,0.2,6.89996e-07,1200
1,1,100,1200,0.2,1.034994e-06,1200
1,1,100,1200,0.2,1.379992e-06,1200
1,1,100,1200,0.2,1.72499e-06,1200
1,1,100,1200,0.2,2.069988e-06,1200
1,1,100,1200,0.2,2.414986e-06,1200
1,1,100,1200,0.2,2.759984e-06,1200
1,1,100,1200,0.2,3.104982e-06,1200
1,1,100,1200,0.2,3.44998e-06,1200
1,1,500,12,0,0,1200
1,1,500,12,0,3.44998e-07,882
1,1,500,12,0,6.89996e-07,872
1,1,500,12,0,1.034994e-06,866
1,1,500,12,0,1.379992e-06,861
1,1,500,12,0,1.72499e-06,857
1,1,500,12,0,2.069988e-06,854
1,1,500,12,0,2.414986e-06,852
1,1,500,12,0,2.759984e-06,849
1,1,500,12,0,3.104982e-06,847
1,1,500,12,0,3.44998e-06,845
1,1,500,12,0.001,0,1200
1,1,500,12,0.001,3.44998e-07,926
1,1,500,12,0.001,6.89996e-07,912
1,1,500,12,0.001,1.034994e-06,904
1,1,500,12,0.001,1.379992e-06,898
1,1,500,12,0.001,1.72499e-06,893
1,1,500,12,0.001,2.069988e-06,890
1,1,500,12,0.001,2.414986e-06,886
1,1,500,12,0.001,2.759984e-06,883
1,1,500,12,0.001,3.104982e-06,881
1,1,500,12,0.001,3.44998e-06,878
1,1,500,12,0.005,0,1200
1,1,500,12,0.005,3.44998e-07,1129
1,1,500,12,0.005,6.89996e-07,1103
1,1,500,12,0.005,1.034994e-06,1087
1,1,500,12,0.005,1.379992e-06,1076
1,1,500,12,0.005,1.72499e-06,1067
1,1,500,12,0.005,2.069988e-06,1060
1,1,500,12,0.005,2.414986e-06,1053
1,1,500,12,0.005,2.759984e-06,1048
1,1,500,12,0.005,3.104982e-06,1043
1,1,500,12,0.005,3.44998e-06,1039
1,1,500,12,0.01,0,1200
1,1,500,12,0.01,3.44998e-07,1200
1,1,500,12,0.01,6.89996e-07,1200
1,1,500,12,0.01,1.034994e-06,1200
1,1,500,12,0.01,1.379992e-06,1200
1,1,500,12,0.01,1.72499e-06,1200
1,1,500,12,0.01,2.069988e-06,1200
1,1,500,12,0.01,2.414986e-06,1200
1,1,500,12,0.01,2.759984e-06,1200
1,1,500,12,0.01,3.104982e-06,1200
1,1,500,12,0.01,3.44998e-06,1200
1,1,500,12,0.05,0,1200
1,1,500,12,0.05,3.44998e-07,1200
1,1,500,12,0.05,6.89996e-07,1200
1,1,500,12,0.05,1.034994e-06,1200
1,1,500,12,0.05,1.379992e-06,1200
1,1,500,12,0.05,1.72499e-06,1200
